Intents,queries,response1,response2
committee,Are there any committee in college,"Our college has several committees that oversee different aspects of student life and academics. These include the academic committee, sports committee, cultural committee, event management committee, and more. For detailed information on each committee and its responsibilities, you can visit the student services office or refer to the college's official website.","Yes, our college has various committees such as the student affairs committee, disciplinary committee, placement committee, and sports committee. These committees play an important role in organizing events, supporting students, and maintaining campus activities. You can get more information from the student affairs office."
committee,Give me committee details,"Our college has several committees that oversee different aspects of student life and academics. These include the academic committee, sports committee, cultural committee, event management committee, and more. For detailed information on each committee and its responsibilities, you can visit the student services office or refer to the college's official website.","Yes, our college has various committees such as the student affairs committee, disciplinary committee, placement committee, and sports committee. These committees play an important role in organizing events, supporting students, and maintaining campus activities. You can get more information from the student affairs office."
committee,committee,"Our college has several committees that oversee different aspects of student life and academics. These include the academic committee, sports committee, cultural committee, event management committee, and more. For detailed information on each committee and its responsibilities, you can visit the student services office or refer to the college's official website.","Yes, our college has various committees such as the student affairs committee, disciplinary committee, placement committee, and sports committee. These committees play an important role in organizing events, supporting students, and maintaining campus activities. You can get more information from the student affairs office."
committee,how many committee are there in college,"Our college has several committees that oversee different aspects of student life and academics. These include the academic committee, sports committee, cultural committee, event management committee, and more. For detailed information on each committee and its responsibilities, you can visit the student services office or refer to the college's official website.","Yes, our college has various committees such as the student affairs committee, disciplinary committee, placement committee, and sports committee. These committees play an important role in organizing events, supporting students, and maintaining campus activities. You can get more information from the student affairs office."
random,I love you,"I'm here to assist you with information or queries about the university. If you have any questions, feel free to ask","Let's keep our conversation friendly and focused on how I can help you. If there's something you'd like to know, I'm here to assist!"
random,Will you marry me,"I'm here to assist you with information or queries about the university. If you have any questions, feel free to ask","Let's keep our conversation friendly and focused on how I can help you. If there's something you'd like to know, I'm here to assist!"
random,Do you love me,"I'm here to assist you with information or queries about the university. If you have any questions, feel free to ask","Let's keep our conversation friendly and focused on how I can help you. If there's something you'd like to know, I'm here to assist!"
random,fuck,"I'm here to assist you with information or queries about the university. If you have any questions, feel free to ask","Let's keep our conversation friendly and focused on how I can help you. If there's something you'd like to know, I'm here to assist!"
swear,bitch,"I'm here to assist you with information or queries about the university. If you have any questions, feel free to ask","Let's keep our conversation friendly and focused on how I can help you. If there's something you'd like to know, I'm here to assist!"
swear,shut up,"I'm here to assist you with information or queries about the university. If you have any questions, feel free to ask","Let's keep our conversation friendly and focused on how I can help you. If there's something you'd like to know, I'm here to assist!"
swear,hell,"I'm here to assist you with information or queries about the university. If you have any questions, feel free to ask","Let's keep our conversation friendly and focused on how I can help you. If there's something you'd like to know, I'm here to assist!"
swear,stupid,"I'm here to assist you with information or queries about the university. If you have any questions, feel free to ask","Let's keep our conversation friendly and focused on how I can help you. If there's something you'd like to know, I'm here to assist!"
swear,idiot,"I'm here to assist you with information or queries about the university. If you have any questions, feel free to ask","Let's keep our conversation friendly and focused on how I can help you. If there's something you'd like to know, I'm here to assist!"
swear,dumb ass,"I'm here to assist you with information or queries about the university. If you have any questions, feel free to ask","Let's keep our conversation friendly and focused on how I can help you. If there's something you'd like to know, I'm here to assist!"
swear,asshole,"I'm here to assist you with information or queries about the university. If you have any questions, feel free to ask","Let's keep our conversation friendly and focused on how I can help you. If there's something you'd like to know, I'm here to assist!"
swear,fucker,"I'm here to assist you with information or queries about the university. If you have any questions, feel free to ask","Let's keep our conversation friendly and focused on how I can help you. If there's something you'd like to know, I'm here to assist!"
vacation,holidays,"The list of holidays, semester start and end dates, and vacation details are available in the academic calendar. Please check with the administration or refer to the official website for the updated schedule.","Holidays and vacations are planned according to the academic calendar. For detailed information about holiday dates and semester timelines, kindly contact the academic office or visit the official college portal."
vacation,when will semester starts,"The list of holidays, semester start and end dates, and vacation details are available in the academic calendar. Please check with the administration or refer to the official website for the updated schedule.","Holidays and vacations are planned according to the academic calendar. For detailed information about holiday dates and semester timelines, kindly contact the academic office or visit the official college portal."
vacation,when will semester end,"The list of holidays, semester start and end dates, and vacation details are available in the academic calendar. Please check with the administration or refer to the official website for the updated schedule.","Holidays and vacations are planned according to the academic calendar. For detailed information about holiday dates and semester timelines, kindly contact the academic office or visit the official college portal."
vacation,when is the holidays,"The list of holidays, semester start and end dates, and vacation details are available in the academic calendar. Please check with the administration or refer to the official website for the updated schedule.","Holidays and vacations are planned according to the academic calendar. For detailed information about holiday dates and semester timelines, kindly contact the academic office or visit the official college portal."
vacation,list of holidays,"The list of holidays, semester start and end dates, and vacation details are available in the academic calendar. Please check with the administration or refer to the official website for the updated schedule.","Holidays and vacations are planned according to the academic calendar. For detailed information about holiday dates and semester timelines, kindly contact the academic office or visit the official college portal."
vacation,Holiday in these year,"The list of holidays, semester start and end dates, and vacation details are available in the academic calendar. Please check with the administration or refer to the official website for the updated schedule.","Holidays and vacations are planned according to the academic calendar. For detailed information about holiday dates and semester timelines, kindly contact the academic office or visit the official college portal."
vacation,holiday list,"The list of holidays, semester start and end dates, and vacation details are available in the academic calendar. Please check with the administration or refer to the official website for the updated schedule.","Holidays and vacations are planned according to the academic calendar. For detailed information about holiday dates and semester timelines, kindly contact the academic office or visit the official college portal."
vacation,about vacations,"The list of holidays, semester start and end dates, and vacation details are available in the academic calendar. Please check with the administration or refer to the official website for the updated schedule.","Holidays and vacations are planned according to the academic calendar. For detailed information about holiday dates and semester timelines, kindly contact the academic office or visit the official college portal."
vacation,about holidays,"The list of holidays, semester start and end dates, and vacation details are available in the academic calendar. Please check with the administration or refer to the official website for the updated schedule.","Holidays and vacations are planned according to the academic calendar. For detailed information about holiday dates and semester timelines, kindly contact the academic office or visit the official college portal."
vacation,When is vacation,"The list of holidays, semester start and end dates, and vacation details are available in the academic calendar. Please check with the administration or refer to the official website for the updated schedule.","Holidays and vacations are planned according to the academic calendar. For detailed information about holiday dates and semester timelines, kindly contact the academic office or visit the official college portal."
vacation,When is holidays,"The list of holidays, semester start and end dates, and vacation details are available in the academic calendar. Please check with the administration or refer to the official website for the updated schedule.","Holidays and vacations are planned according to the academic calendar. For detailed information about holiday dates and semester timelines, kindly contact the academic office or visit the official college portal."
vacation,how long will be the vacation,"The list of holidays, semester start and end dates, and vacation details are available in the academic calendar. Please check with the administration or refer to the official website for the updated schedule.","Holidays and vacations are planned according to the academic calendar. For detailed information about holiday dates and semester timelines, kindly contact the academic office or visit the official college portal."
sports,sports and games,"Our college offers excellent sports facilities, including well-maintained grounds for cricket, football, and basketball, as well as indoor games like table tennis and badminton. Regular sports events and competitions are organized to promote fitness and teamwork among students.","We have a variety of sports and games activities to keep students active and engaged. From outdoor games like cricket and football to indoor activities like chess and badminton, there's something for everyone. For more details, contact the sports department or visit the campus."
sports,give sports details,"Our college offers excellent sports facilities, including well-maintained grounds for cricket, football, and basketball, as well as indoor games like table tennis and badminton. Regular sports events and competitions are organized to promote fitness and teamwork among students.","We have a variety of sports and games activities to keep students active and engaged. From outdoor games like cricket and football to indoor activities like chess and badminton, there's something for everyone. For more details, contact the sports department or visit the campus."
sports,sports infrastructure,"Our college offers excellent sports facilities, including well-maintained grounds for cricket, football, and basketball, as well as indoor games like table tennis and badminton. Regular sports events and competitions are organized to promote fitness and teamwork among students.","We have a variety of sports and games activities to keep students active and engaged. From outdoor games like cricket and football to indoor activities like chess and badminton, there's something for everyone. For more details, contact the sports department or visit the campus."
sports,sports facilities,"Our college offers excellent sports facilities, including well-maintained grounds for cricket, football, and basketball, as well as indoor games like table tennis and badminton. Regular sports events and competitions are organized to promote fitness and teamwork among students.","We have a variety of sports and games activities to keep students active and engaged. From outdoor games like cricket and football to indoor activities like chess and badminton, there's something for everyone. For more details, contact the sports department or visit the campus."
sports,information about sports,"Our college offers excellent sports facilities, including well-maintained grounds for cricket, football, and basketball, as well as indoor games like table tennis and badminton. Regular sports events and competitions are organized to promote fitness and teamwork among students.","We have a variety of sports and games activities to keep students active and engaged. From outdoor games like cricket and football to indoor activities like chess and badminton, there's something for everyone. For more details, contact the sports department or visit the campus."
sports,Sports activities,"Our college offers excellent sports facilities, including well-maintained grounds for cricket, football, and basketball, as well as indoor games like table tennis and badminton. Regular sports events and competitions are organized to promote fitness and teamwork among students.","We have a variety of sports and games activities to keep students active and engaged. From outdoor games like cricket and football to indoor activities like chess and badminton, there's something for everyone. For more details, contact the sports department or visit the campus."
sports,please provide sports and games information,"Our college offers excellent sports facilities, including well-maintained grounds for cricket, football, and basketball, as well as indoor games like table tennis and badminton. Regular sports events and competitions are organized to promote fitness and teamwork among students.","We have a variety of sports and games activities to keep students active and engaged. From outdoor games like cricket and football to indoor activities like chess and badminton, there's something for everyone. For more details, contact the sports department or visit the campus."
salutaion,okk,You're welcome! I'm always here to help. Let me know if you have any more questions!,Thank you! I'm glad I could assist you. Feel free to reach out anytime. Have a great day! 
salutaion,okie,You're welcome! I'm always here to help. Let me know if you have any more questions!,Thank you! I'm glad I could assist you. Feel free to reach out anytime. Have a great day! 
salutaion,nice work,You're welcome! I'm always here to help. Let me know if you have any more questions!,Thank you! I'm glad I could assist you. Feel free to reach out anytime. Have a great day! 
salutaion,well done,You're welcome! I'm always here to help. Let me know if you have any more questions!,Thank you! I'm glad I could assist you. Feel free to reach out anytime. Have a great day! 
salutaion,good job,You're welcome! I'm always here to help. Let me know if you have any more questions!,Thank you! I'm glad I could assist you. Feel free to reach out anytime. Have a great day! 
salutaion,thanks for the help,You're welcome! I'm always here to help. Let me know if you have any more questions!,Thank you! I'm glad I could assist you. Feel free to reach out anytime. Have a great day! 
salutaion,Thank You,You're welcome! I'm always here to help. Let me know if you have any more questions!,Thank you! I'm glad I could assist you. Feel free to reach out anytime. Have a great day! 
salutaion,its ok,You're welcome! I'm always here to help. Let me know if you have any more questions!,Thank you! I'm glad I could assist you. Feel free to reach out anytime. Have a great day! 
salutaion,Thanks,You're welcome! I'm always here to help. Let me know if you have any more questions!,Thank you! I'm glad I could assist you. Feel free to reach out anytime. Have a great day! 
salutaion,Good work,You're welcome! I'm always here to help. Let me know if you have any more questions!,Thank you! I'm glad I could assist you. Feel free to reach out anytime. Have a great day! 
salutaion,k,You're welcome! I'm always here to help. Let me know if you have any more questions!,Thank you! I'm glad I could assist you. Feel free to reach out anytime. Have a great day! 
salutaion,ok,You're welcome! I'm always here to help. Let me know if you have any more questions!,Thank you! I'm glad I could assist you. Feel free to reach out anytime. Have a great day! 
salutaion,okay,You're welcome! I'm always here to help. Let me know if you have any more questions!,Thank you! I'm glad I could assist you. Feel free to reach out anytime. Have a great day! 
task,what can you do,"I can provide information about the college, including admission requirements, hostel facilities, events, and schedules. I'm designed to make finding answers quick and convenient for you. How can I assist you today?","I am here to assist you with various queries related to the university, including admissions, hostel details, events, timetables, and more. Feel free to ask me anything, and I'll do my best to help!"
task,what are the thing you can do,"I can provide information about the college, including admission requirements, hostel facilities, events, and schedules. I'm designed to make finding answers quick and convenient for you. How can I assist you today?","I am here to assist you with various queries related to the university, including admissions, hostel details, events, timetables, and more. Feel free to ask me anything, and I'll do my best to help!"
task,things you can do,"I can provide information about the college, including admission requirements, hostel facilities, events, and schedules. I'm designed to make finding answers quick and convenient for you. How can I assist you today?","I am here to assist you with various queries related to the university, including admissions, hostel details, events, timetables, and more. Feel free to ask me anything, and I'll do my best to help!"
task,what can u do for me,"I can provide information about the college, including admission requirements, hostel facilities, events, and schedules. I'm designed to make finding answers quick and convenient for you. How can I assist you today?","I am here to assist you with various queries related to the university, including admissions, hostel details, events, timetables, and more. Feel free to ask me anything, and I'll do my best to help!"
task,how u can help me,"I can provide information about the college, including admission requirements, hostel facilities, events, and schedules. I'm designed to make finding answers quick and convenient for you. How can I assist you today?","I am here to assist you with various queries related to the university, including admissions, hostel details, events, timetables, and more. Feel free to ask me anything, and I'll do my best to help!"
task,why i should use you,"I can provide information about the college, including admission requirements, hostel facilities, events, and schedules. I'm designed to make finding answers quick and convenient for you. How can I assist you today?","I am here to assist you with various queries related to the university, including admissions, hostel details, events, timetables, and more. Feel free to ask me anything, and I'll do my best to help!"
ragging,ragging,"Our college strictly prohibits ragging in any form. We maintain a zero-tolerance policy against such practices, ensuring a safe and welcoming environment for all students. If you have concerns or need assistance, feel free to contact the administration.",Ragging is not permitted in our college under any circumstances. We have a dedicated anti-ragging cell and strict measures in place to prevent and address any such incidents. Students are encouraged to report any issues to the administration for immediate action.
ragging,is ragging practice active in college,"Our college strictly prohibits ragging in any form. We maintain a zero-tolerance policy against such practices, ensuring a safe and welcoming environment for all students. If you have concerns or need assistance, feel free to contact the administration.",Ragging is not permitted in our college under any circumstances. We have a dedicated anti-ragging cell and strict measures in place to prevent and address any such incidents. Students are encouraged to report any issues to the administration for immediate action.
ragging,does college have any antiragging facility,"Our college strictly prohibits ragging in any form. We maintain a zero-tolerance policy against such practices, ensuring a safe and welcoming environment for all students. If you have concerns or need assistance, feel free to contact the administration.",Ragging is not permitted in our college under any circumstances. We have a dedicated anti-ragging cell and strict measures in place to prevent and address any such incidents. Students are encouraged to report any issues to the administration for immediate action.
ragging,is there any ragging cases,"Our college strictly prohibits ragging in any form. We maintain a zero-tolerance policy against such practices, ensuring a safe and welcoming environment for all students. If you have concerns or need assistance, feel free to contact the administration.",Ragging is not permitted in our college under any circumstances. We have a dedicated anti-ragging cell and strict measures in place to prevent and address any such incidents. Students are encouraged to report any issues to the administration for immediate action.
ragging,is ragging done here,"Our college strictly prohibits ragging in any form. We maintain a zero-tolerance policy against such practices, ensuring a safe and welcoming environment for all students. If you have concerns or need assistance, feel free to contact the administration.",Ragging is not permitted in our college under any circumstances. We have a dedicated anti-ragging cell and strict measures in place to prevent and address any such incidents. Students are encouraged to report any issues to the administration for immediate action.
ragging,ragging against,"Our college strictly prohibits ragging in any form. We maintain a zero-tolerance policy against such practices, ensuring a safe and welcoming environment for all students. If you have concerns or need assistance, feel free to contact the administration.",Ragging is not permitted in our college under any circumstances. We have a dedicated anti-ragging cell and strict measures in place to prevent and address any such incidents. Students are encouraged to report any issues to the administration for immediate action.
ragging,antiragging facility,"Our college strictly prohibits ragging in any form. We maintain a zero-tolerance policy against such practices, ensuring a safe and welcoming environment for all students. If you have concerns or need assistance, feel free to contact the administration.",Ragging is not permitted in our college under any circumstances. We have a dedicated anti-ragging cell and strict measures in place to prevent and address any such incidents. Students are encouraged to report any issues to the administration for immediate action.
ragging,ragging juniors,"Our college strictly prohibits ragging in any form. We maintain a zero-tolerance policy against such practices, ensuring a safe and welcoming environment for all students. If you have concerns or need assistance, feel free to contact the administration.",Ragging is not permitted in our college under any circumstances. We have a dedicated anti-ragging cell and strict measures in place to prevent and address any such incidents. Students are encouraged to report any issues to the administration for immediate action.
ragging,ragging history,"Our college strictly prohibits ragging in any form. We maintain a zero-tolerance policy against such practices, ensuring a safe and welcoming environment for all students. If you have concerns or need assistance, feel free to contact the administration.",Ragging is not permitted in our college under any circumstances. We have a dedicated anti-ragging cell and strict measures in place to prevent and address any such incidents. Students are encouraged to report any issues to the administration for immediate action.
ragging,ragging incidents,"Our college strictly prohibits ragging in any form. We maintain a zero-tolerance policy against such practices, ensuring a safe and welcoming environment for all students. If you have concerns or need assistance, feel free to contact the administration.",Ragging is not permitted in our college under any circumstances. We have a dedicated anti-ragging cell and strict measures in place to prevent and address any such incidents. Students are encouraged to report any issues to the administration for immediate action.
hod,hod,"The Head of Department (HOD) is Dr. Nauman Mazher. For further details or assistance, feel free to reach out to the department office.","Our HOD is Dr. Nauman Mazher, who leads the department with excellence and dedication. You can contact the HOD's office for any academic-related inquiries."
hod,hod name,"The Head of Department (HOD) is Dr. Nauman Mazher. For further details or assistance, feel free to reach out to the department office.","Our HOD is Dr. Nauman Mazher, who leads the department with excellence and dedication. You can contact the HOD's office for any academic-related inquiries."
hod,who is the hod,"The Head of Department (HOD) is Dr. Nauman Mazher. For further details or assistance, feel free to reach out to the department office.","Our HOD is Dr. Nauman Mazher, who leads the department with excellence and dedication. You can contact the HOD's office for any academic-related inquiries."
Mess Timetable,Mess TimeTable,"For the mess timetable, bus schedule, and academic calendar, please visit the respective sections on our official website. You?l find detailed and up-to-date information there.","The mess timetable, bus schedule, and academic calendar are all available for your convenience. Please check the official college resources or contact the administration for specific details."
Mess Timetable,what is the Mess Table,"For the mess timetable, bus schedule, and academic calendar, please visit the respective sections on our official website. You?l find detailed and up-to-date information there.","The mess timetable, bus schedule, and academic calendar are all available for your convenience. Please check the official college resources or contact the administration for specific details."
Mess Timetable,Bus Timetable,"For the mess timetable, bus schedule, and academic calendar, please visit the respective sections on our official website. You?l find detailed and up-to-date information there.","The mess timetable, bus schedule, and academic calendar are all available for your convenience. Please check the official college resources or contact the administration for specific details."
Mess Timetable,timetable,"For the mess timetable, bus schedule, and academic calendar, please visit the respective sections on our official website. You?l find detailed and up-to-date information there.","The mess timetable, bus schedule, and academic calendar are all available for your convenience. Please check the official college resources or contact the administration for specific details."
Mess Timetable,what is the timetable,"For the mess timetable, bus schedule, and academic calendar, please visit the respective sections on our official website. You?l find detailed and up-to-date information there.","The mess timetable, bus schedule, and academic calendar are all available for your convenience. Please check the official college resources or contact the administration for specific details."
Mess Timetable,what is the bus timetable,"For the mess timetable, bus schedule, and academic calendar, please visit the respective sections on our official website. You?l find detailed and up-to-date information there.","The mess timetable, bus schedule, and academic calendar are all available for your convenience. Please check the official college resources or contact the administration for specific details."
Mess Timetable,Academic Calander,"For the mess timetable, bus schedule, and academic calendar, please visit the respective sections on our official website. You?l find detailed and up-to-date information there.","The mess timetable, bus schedule, and academic calendar are all available for your convenience. Please check the official college resources or contact the administration for specific details."
greeting,What do you mean by heyy?,Hello!! How can I assist you today? Feel free to ask more.,Hi there! What can I do for you? I'm here to help.
greeting,How does hi work at your university?,Hello!! How can I assist you today? Feel free to ask more.,Hi there!! What can I do for you?
greeting,Give me details on hi.,Hello!! How can I assist you today? Feel free to ask more.,Hi there! What can I do for you? I'm here to help.
greeting,How does how are you? work at your university?,Hello! How can I assist you today?,Hi there. What can I do for you?
greeting,Information related to how are you? please.,Hello! How can I assist you today?,Hi there. What can I do for you? I'm here to help.
greeting,Give me details on whatsup.,Hello!! How can I assist you today? Feel free to ask more.,Hi there. What can I do for you?
greeting,What do you mean by what's up?,Hello!! How can I assist you today? Feel free to ask more.,Hi there! What can I do for you?
greeting,Give me details on good day.,Hello!! How can I assist you today?,Hi there! What can I do for you?
greeting,Can you tell me about hi?,Hello!! How can I assist you today? Feel free to ask more.,Hi there! What can I do for you?
greeting,How does what's up work at your university?,Hello. How can I assist you today?,Hi there. What can I do for you?
goodbye,Information related to see you please.,"Goodbye. Have a great day."" Feel free to ask more.",Take care. See you later. I'm here to help.
goodbye,I want to know more about i am leaving.,"Goodbye!! Have a great day!!"" Feel free to ask more.",Take care! See you later! I'm here to help.
goodbye,Who should I contact about talk to you later?,"Goodbye. Have a great day."" Feel free to ask more.",Take care! See you later! I'm here to help.
goodbye,Who should I contact about talk to you later?,"Goodbye! Have a great day!"" Feel free to ask more.",Take care. See you later. I'm here to help.
goodbye,How does i got to go work at your university?,"Goodbye!! Have a great day!!""",Take care! See you later!
goodbye,How does talk to you later work at your university?,"Goodbye. Have a great day."" Feel free to ask more.",Take care. See you later. I'm here to help.
goodbye,What do you mean by ttyl?,"Goodbye!! Have a great day!!""",Take care!! See you later!!
goodbye,Information related to see you please.,"Goodbye!! Have a great day!!""",Take care! See you later! I'm here to help.
goodbye,How does have a good day work at your university?,"Goodbye. Have a great day.""",Take care. See you later.
goodbye,Information related to gtg please.,"Goodbye!! Have a great day!!"" Feel free to ask more.",Take care. See you later. I'm here to help.
"creator,invent",Could you please explain who created you?,"I was created by M Huzaifa Alam, a passionate developer.","This chatbot is a project by M Huzaifa Alam, designed to assist you."
"creator,invent",What do you mean by who created you?,"I was created by M Huzaifa Alam, a passionate developer.","This chatbot is a project by M Huzaifa Alam, designed to assist you."
"creator,invent",How does what is the name of the creators work at your university?,"I was created by M Huzaifa Alam, a passionate developer.","This chatbot is a project by M Huzaifa Alam, designed to assist you."
"creator,invent",Who should I contact about developers?,"I was created by M Huzaifa Alam, a passionate developer. Feel free to ask more.","This chatbot is a project by M Huzaifa Alam, designed to assist you. I'm here to help."
"creator,invent",Can you tell me about what is the name of the creators?,"I was created by M Huzaifa Alam, a passionate developer.","This chatbot is a project by M Huzaifa Alam, designed to assist you."
"creator,invent",Could you please explain who created you?,"I was created by M Huzaifa Alam, a passionate developer. Feel free to ask more.","This chatbot is a project by M Huzaifa Alam, designed to assist you."
"creator,invent",Give me details on your developers.,"I was created by M Huzaifa Alam, a passionate developer. Feel free to ask more.","This chatbot is a project by M Huzaifa Alam, designed to assist you. I'm here to help."
"creator,invent",Could you please explain what is the name of your creators?,"I was created by M Huzaifa Alam, a passionate developer.","This chatbot is a project by M Huzaifa Alam, designed to assist you."
"creator,invent",What do you mean by you are made by whom?,"I was created by M Huzaifa Alam, a passionate developer. Feel free to ask more.","This chatbot is a project by M Huzaifa Alam, designed to assist you. I'm here to help."
"creator,invent",Can you tell me about your developers?,"I was created by M Huzaifa Alam, a passionate developer. Feel free to ask more.","This chatbot is a project by M Huzaifa Alam, designed to assist you. I'm here to help."
Intro,I want to know more about what are you.,I am   AskU your smart assistant. Feel free to ask more.,The name  asked for is AskU. I'm here to help.
Intro,Can you tell me about whats your name??,I am   AskU your smart assistant.,The name  asked for is AskU. I'm here to help.
Intro,Information related to do you have a name please.,I am   AskU your smart assistant.,The name  asked for is AskU.
Intro,Could you please explain what is your name?,I am   AskU your smart assistant.,The name  asked for is AskU.
Intro,Could you please explain what should i call you?,I am   AskU your smart assistant. Feel free to ask more.,The name  asked for is AskU. I'm here to help.
Intro,Who should I contact about what am i chatting to?,I am   AskU your smart assistant.,The name  asked for is AskU. I'm here to help.
Intro,Information related to what am i chatting to please.,I am   AskU your smart assistant. Feel free to ask more.,The name  asked for is AskU. I'm here to help.
Intro,How does what should i call you work at your university?,I am   AskU your smart assistant. Feel free to ask more.,The name  asked for is AskU. I'm here to help.
Intro,Can you tell me about what are you?,I am   AskU your smart assistant.,The name  asked for is AskU.
Intro,Give me details on what should i call you.,I am   AskU your smart assistant.,The name  asked for is AskU. I'm here to help.
timing,Can you tell me about tell something about college timing?,The college timing is from 8:00 am to 5:00 pm  on working days. Feel free to ask more.,Classes are scheduled from 8:00 am to 5:00 pm from Monday to Friday. I'm here to help.
timing,Give me details on working days.,The college timing is from 8:00 am to 5:00 pm  on working days. Feel free to ask more.,Classes are scheduled from 8:00 am to 5:00 pm from Monday to Friday. I'm here to help.
timing,What do you mean by timing of college?,The college timing is from 8:00 am to 5:00 pm  on working days.,Classes are scheduled from 8:00 am to 5:00 pm from Monday to Friday.
timing,How does when is the college open work at your university?,The college timing is from 8:00 am to 5:00 pm  on working days.,Classes are scheduled from 8:00 am to 5:00 pm from Monday to Friday.
timing,Give me details on is college open on saturday.,The college timing is from 8:00 am to 5:00 pm  on working days. Feel free to ask more.,Classes are scheduled from 8:00 am to 5:00 pm from Monday to Friday. I'm here to help.
timing,Who should I contact about college timing?,The college timing is from 8:00 am to 5:00 pm  on working days.,Classes are scheduled from 8:00 am to 5:00 pm from Monday to Friday. I'm here to help.
timing,Can you tell me about what is the college  hours?,The college timing is from 8:00 am to 5:00 pm  on working days.,Classes are scheduled from 8:00 am to 5:00 pm from Monday to Friday. I'm here to help.
timing,What do you mean by hours of operation?,The college timing is from 8:00 am to 5:00 pm  on working days. Feel free to ask more.,Classes are scheduled from 8:00 am to 5:00 pm from Monday to Friday. I'm here to help.
timing,Could you please explain college timing?,The college timing is from 8:00 am to 5:00 pm  on working days.,Classes are scheduled from 8:00 am to 5:00 pm from Monday to Friday.
timing,Who should I contact about when is the college open?,The college timing is from 8:00 am to 5:00 pm  on working days.,Classes are scheduled from 8:00 am to 5:00 pm from Monday to Friday. I'm here to help.
number,Information related to phone no please.,You can contact the college at +9478378289372,Our contact number is +9478378289372  . Please feel free to call us
number,What do you mean by more info?,You can contact the college at +9478378289372,Our contact number is +9478378289372  . Please feel free to call us I'm here to help.
number,I want to know more about college number.,You can contact the college at +9478378289372 Feel free to ask more.,Our contact number is +9478378289372  . Please feel free to call us I'm here to help.
number,How does contact info work at your university?,You can contact the college at +9478378289372 Feel free to ask more.,Our contact number is +9478378289372  . Please feel free to call us
number,How does what is your contact no work at your university?,You can contact the college at +9478378289372 Feel free to ask more.,Our contact number is +9478378289372  . Please feel free to call us
number,How does call work at your university?,You can contact the college at +9478378289372 Feel free to ask more.,Our contact number is +9478378289372  . Please feel free to call us
number,I want to know more about how can i contact you.,You can contact the college at +9478378289372,Our contact number is +9478378289372  . Please feel free to call us
number,Could you please explain how to contact college?,You can contact the college at +9478378289372,Our contact number is +9478378289372  . Please feel free to call us
number,Information related to college number please.,You can contact the college at +9478378289372 Feel free to ask more.,Our contact number is +9478378289372  . Please feel free to call us I'm here to help.
number,Give me details on how can i contact you.,You can contact the college at +9478378289372,Our contact number is +9478378289372  . Please feel free to call us
course,How does branches available at your college? work at your university?,"Our college offers courses in Computer Engineering, Information Technology, Mechanical Engineering, Civil Engineering, and Chemical Engineering Feel free to ask more.","We provide courses in Computer Science, IT, AI/ML, Mechanical, Civil, and Chemical Engineering. I'm here to help."
course,Who should I contact about courses you offer?,"Our college offers courses in Computer Engineering, Information Technology, Mechanical Engineering, Civil Engineering, and Chemical Engineering","We provide courses in Computer Science, IT, AI/ML, Mechanical, Civil, and Chemical Engineering."
course,Give me details on what are the courses offered in your college?.,"Our college offers courses in Computer Engineering, Information Technology, Mechanical Engineering, Civil Engineering, and Chemical Engineering","We provide courses in Computer Science, IT, AI/ML, Mechanical, Civil, and Chemical Engineering. I'm here to help."
course,Information related to it please.,"Our college offers courses in Computer Engineering, Information Technology, Mechanical Engineering, Civil Engineering, and Chemical Engineering Feel free to ask more.","We provide courses in Computer Science, IT, AI/ML, Mechanical, Civil, and Chemical Engineering. I'm here to help."
course,How does list of courses work at your university?,"Our college offers courses in Computer Engineering, Information Technology, Mechanical Engineering, Civil Engineering, and Chemical Engineering Feel free to ask more.","We provide courses in Computer Science, IT, AI/ML, Mechanical, Civil, and Chemical Engineering."
course,Who should I contact about what are courses in uni??,"Our college offers courses in Computer Engineering, Information Technology, Mechanical Engineering, Civil Engineering, and Chemical Engineering","We provide courses in Computer Science, IT, AI/ML, Mechanical, Civil, and Chemical Engineering. I'm here to help."
course,Give me details on list of courses offered in.,"Our college offers courses in Computer Engineering, Information Technology, Mechanical Engineering, Civil Engineering, and Chemical Engineering","We provide courses in Computer Science, IT, AI/ML, Mechanical, Civil, and Chemical Engineering. I'm here to help."
course,Information related to mechanical engineering please.,"Our college offers courses in Computer Engineering, Information Technology, Mechanical Engineering, Civil Engineering, and Chemical Engineering Feel free to ask more.","We provide courses in Computer Science, IT, AI/ML, Mechanical, Civil, and Chemical Engineering. I'm here to help."
course,Give me details on what are the courses offered in your college?.,"Our college offers courses in Computer Engineering, Information Technology, Mechanical Engineering, Civil Engineering, and Chemical Engineering","We provide courses in Computer Science, IT, AI/ML, Mechanical, Civil, and Chemical Engineering."
course,What do you mean by branches available in uni??,"Our college offers courses in Computer Engineering, Information Technology, Mechanical Engineering, Civil Engineering, and Chemical Engineering","We provide courses in Computer Science, IT, AI/ML, Mechanical, Civil, and Chemical Engineering. I'm here to help."
fees,Who should I contact about fees?,"The fee per semester is 250,000  for different programs like Computer Engineering, IT, and others","Each semester fee is 250,000 for various courses such as Mechanical, Civil, and Chemical Engineering"
fees,Can you tell me about tell me the fee?,"The fee per semester is 250,000  for different programs like Computer Engineering, IT, and others Feel free to ask more.","Each semester fee is 250,000 for various courses such as Mechanical, Civil, and Chemical Engineering I'm here to help."
fees,Give me details on information on fee.,"The fee per semester is 250,000  for different programs like Computer Engineering, IT, and others","Each semester fee is 250,000 for various courses such as Mechanical, Civil, and Chemical Engineering"
